burst,class,3 class,complete,duration,sig_dur,sig_asym,sig_lag,pulse pk flux,sig_pk flux,S(1+2+3),sigS(1+2+3),hr31 (erg),sig hr31 (erg),log10(dur),asymmetry,lag,log10(p256),log10(S),log10(hr31)
BATSE 0451 p05,L,L,C,3.66,0.38,0.025,0.044,4.677,0.251,8.48E-07,3.32E-08,2.284,0.215,0.563481085,0.977,0.07,-0.599672486,-6.071757817,0.3586961
BATSE 0465 p01,L,X,C,15.66,1.25,0.051,0.91,0.151,0.058,4.09E-07,2.33E-08,1.45,0.173,1.194791758,0.991,0.2,-1.234666201,-6.388807939,0.161368002
BATSE 0467 p01,L,L,C,0.909,0.18,0.008,0.022,5.887,0.277,8.82E-07,3.92E-08,11.704,1.296,-0.041436117,0.59,-0.035,-0.55810553,-6.054629906,1.068334313
BATSE 0467 p02,L,L,C,18.93,0.97,0.014,0.29,1.284,0.088,2.63E-06,6.58E-08,6.798,0.38,1.277150614,0.989,1.19,-1.055085888,-5.580044252,0.83238116
BATSE 0469 p01,L,L,C,2.58,0.32,0.017,0.047,3.321,0.211,1.52E-06,5.12E-08,9.767,0.777,0.411619706,0.715,0.06,-0.6765352,-5.819300799,0.989761188
BATSE 0469 p02,L,L,C,22.85,1.12,0.014,0.478,0.945,0.077,3.00E-06,7.11E-08,6.842,0.351,1.358886204,0.986,0.7,-1.115079951,-5.522300072,0.83518307
BATSE 0469 p03,L,L,C,5.7,0.49,0.035,0.17,0.793,0.068,6.11E-07,3.11E-08,4.589,0.489,0.755874856,0.966,0.34,-1.169854911,-6.214100972,0.661718058
BATSE 0472 p01,L,L,C,11.88,0.85,0.046,0.592,0.513,0.146,4.23E-07,2.49E-08,3.331,0.424,1.074816441,0.922,0.67,-0.83687222,-6.374173287,0.522574633
BATSE 0473 p01,L,X,C,43,1.65,0.018,0.899,0.287,0.076,9.50E-07,3.35E-08,1.358,0.123,1.633468456,0.998,2.38,-1.118593059,-6.022276395,0.13289977
BATSE 0493 p01,L,I,C,4.46,0.65,0.017,0.119,0.878,0.123,8.27E-07,3.21E-08,3.369,0.374,0.649334859,0.672,0.2,-0.911303748,-6.08249449,0.527501011
BATSE 0501 p01,L,L,C,9.4,0.68,0.018,0.165,0.817,0.117,7.20E-07,3.12E-08,2.29,0.224,0.973127854,0.982,0.582,-0.933199938,-6.142546883,0.359835482
BATSE 0516 p01,L,L,C,11.74,0.97,0.02,0.464,0.364,0.066,6.41E-07,2.62E-08,1.107,0.139,1.069668097,0.525,1.3,-1.178950667,-6.19314197,0.044147621
BATSE 0516 p02,L,L,C,11.89,0.59,0.1,0.48,0.289,0.054,3.31E-07,2.34E-08,3.312,0.42,1.075181855,1,0.002,-1.264635734,-6.480828536,0.520090328
BATSE 0537 p01,L,I,C,4.29,0.39,0.017,0.197,1.324,0.18,6.34E-07,3.38E-08,12.171,1.572,0.632457292,0.986,-0.43,-0.74566218,-6.197842247,1.085326262
BATSE 0540 p01,L,L,C,3.85,0.4,0.024,0.124,0.578,0.093,4.54E-07,2.36E-08,1.419,0.179,0.58546073,0.972,-0.03,-1.032636288,-6.343422709,0.151982395
BATSE 0543 p01,L,I,I,3.3,0.4,0.015,0.033,2.709,0.14,9.44E-07,3.67E-08,2.367,0.191,0.51851394,0.926,0.17,-0.852922637,-6.025258095,0.374198258
BATSE 0548 p01,L,L,I,10.73,0.67,0.022,0.125,1.349,0.138,1.50E-06,5.05E-08,14.736,1.402,1.030599722,0.976,0.37,-0.861664638,-5.825358807,1.168379613
BATSE 0548 p02,L,L,I,6.57,0.69,0.015,0.096,1.357,0.138,1.33E-06,4.55E-08,4.023,0.285,0.81756537,0.493,0.13,-0.859253414,-5.87484417,0.604550033
BATSE 0550 p01,M,X,C,5.73,0.49,0.051,0.46,0.366,0.105,2.09E-07,1.64E-08,1.904,0.352,0.758154622,0.984,-0.07,-0.978004556,-6.67943832,0.279666944
BATSE 0563 p01,L,L,C,30.05,1.4,0.006,0.563,1.495,0.152,5.11E-06,8.73E-08,3.481,0.127,1.477844476,0.991,1.87,-0.817981489,-5.291749111,0.541704023
BATSE 0577 p01,L,L,C,36.88,1.69,0.017,0.664,0.531,0.1,2.37E-06,5.95E-08,3.483,0.185,1.566790912,0.931,1.2,-0.998044934,-5.62598526,0.541953474
BATSE 0591 p01,L,L,I,30.36,1.54,0.055,1.487,0.168,0.037,7.35E-07,3.32E-08,3.132,0.29,1.482301767,0.793,0.59,-1.435720332,-6.133535434,0.495821753
BATSE 0591 p02,L,L,I,3.35,0.51,0.1,0.603,0.206,0.043,1.66E-07,1.65E-08,3.259,0.584,0.525044807,1,0.1,-1.365590778,-6.780939668,0.51308436
BATSE 0591 p03,L,L,I,3.95,0.3,0.091,0.573,0.264,0.053,7.29E-08,9.36E-09,2.573,0.949,0.596597096,0.957,0.22,-1.276336614,-7.13733205,0.410439786
BATSE 0591 p04,L,L,I,5.67,0.41,0.147,0.546,0.378,0.072,1.72E-07,1.44E-08,2.782,0.682,0.753583059,0.772,1.27,-1.143656507,-6.763714723,0.444357126
BATSE 0591 p05,L,L,I,8.97,0.72,0.16,0.308,0.316,0.062,4.27E-07,2.56E-08,4.474,0.584,0.952792443,0.953,0.2,-1.210833779,-6.369470429,0.65069598
BATSE 0591 p06,L,L,I,7.18,0.51,0.122,0.476,0.251,0.051,1.83E-07,1.64E-08,3.273,0.628,0.856124444,0.998,-0.31,-1.295680337,-6.737786295,0.514946005
BATSE 0593 p01,L,X,C,1.73,0.25,0.068,0.289,0.789,0.142,1.44E-07,1.52E-08,5.556,1.273,0.238046103,0.839,0.08,-0.848319345,-6.843148099,0.744762237
BATSE 0593 p02,L,X,C,6.81,0.56,0.059,0.383,0.538,0.101,2.48E-07,1.69E-08,1.16,0.205,0.833147112,0.961,-0.05,-0.995672189,-6.60624936,0.064457989
BATSE 0593 p03,L,X,C,22.02,1.13,0.046,1.005,0.297,0.061,5.03E-07,2.64E-08,2.528,0.293,1.342817315,0.984,-0.93,-1.211776863,-6.298604731,0.40277707
BATSE 0594 p01,L,L,I,9.72,0.71,0.046,0.32,0.42,0.066,7.05E-07,3.36E-08,6.617,0.729,0.987666265,0.96,0.4,-1.182091162,-6.151687696,0.820661135
BATSE 0594 p02,L,L,I,4.29,0.45,0.046,0.443,0.245,0.042,2.40E-07,2.06E-08,17.072,4.146,0.632457292,0.195,0.13,-1.376158564,-6.619969752,1.232284402
BATSE 0594 p03,L,L,I,0.92,0.19,0.009,0.298,0.19,0.034,4.44E-08,8.95E-09,8.657,3.712,-0.036212173,0.956,0.2,-1.463290646,-7.352714855,0.937367418
BATSE 0594 p04,L,L,I,1.61,0.25,0.1,0.285,0.33,0.054,1.11E-07,1.35E-08,7.333,2.045,0.206825876,0.625,-0.25,-1.271122749,-6.955068454,0.865281685
BATSE 0594 p05,L,L,I,2.13,0.3,0.07,0.205,0.42,0.066,1.70E-07,1.61E-08,5.014,1.081,0.328379603,0.666,0.05,-1.182091162,-6.770830297,0.70018433
BATSE 0594 p06,L,L,I,1.76,0.25,0.058,0.268,0.537,0.081,2.10E-07,1.94E-08,24.444,7.323,0.245512668,0.718,-0.08,-1.089438447,-6.677573948,1.388172275
BATSE 0594 p07,L,L,I,7.6,0.63,0.113,0.324,0.569,0.086,8.52E-07,3.81E-08,8.747,0.908,0.880813592,0.927,-0.18,-1.067135111,-6.069509435,0.941859127
BATSE 0594 p08,L,L,I,2.05,0.3,0.129,0.227,0.49,0.075,2.32E-07,2.01E-08,7.685,1.433,0.311753861,0.801,-0.12,-1.124115182,-6.635073966,0.885643872
BATSE 0594 p09,L,L,I,8.2,0.52,0.1,0.492,0.248,0.042,2.99E-07,2.29E-08,18.164,4.102,0.913813852,1,0.51,-1.372053248,-6.523748204,1.259211493
BATSE 0594 p10,L,L,I,1.51,0.24,0.011,0.5,0.295,0.049,1.03E-07,1.35E-08,21.534,8.876,0.178976947,0.189,0.35,-1.311405078,-6.986741335,1.333124709
BATSE 0594 p11,L,L,I,2.4,0.35,0.018,0.158,0.656,0.097,3.07E-07,2.13E-08,3.348,0.496,0.380211242,0.497,0.15,-1.011629432,-6.512861625,0.524785449
BATSE 0606 p01,L,L,C,9.36,0.78,0.012,0.168,0.89,0.13,1.26E-06,4.50E-08,4.964,0.372,0.971275849,0.497,0.18,-0.885185573,-5.898596649,0.695831773
BATSE 0606 p02,L,L,C,19.42,1.09,0.023,0.433,0.512,0.08,1.09E-06,3.96E-08,3.234,0.26,1.288249226,0.972,0.73,-1.094494011,-5.962175249,0.509740016
BATSE 0612 p01,L,X,I,27.66,1.41,0.005,0.617,0.492,0.054,1.86E-06,5.44E-08,4.816,0.298,1.441852176,0.342,1.16,-1.268569298,-5.730020323,0.682686478
BATSE 0612 p02,L,X,I,3.08,0.49,0.054,0.182,1.07,0.095,7.19E-07,3.26E-08,14.221,2.216,0.488550717,0.884,-0.03,-1.0229697,-6.143210711,1.152930136
BATSE 0612 p03,L,X,I,6.59,0.54,0.016,0.066,1.936,0.153,1.76E-06,5.47E-08,7.054,0.474,0.818885415,0.931,0.42,-0.814251387,-5.754240644,0.848435455
BATSE 0630 p01,L,X,C,24.78,1.4,0.027,0.961,1.142,0.204,7.97E-07,3.39E-08,3.295,0.311,1.394101302,0.622,2.59,-0.690265393,-6.09881422,0.517855419
BATSE 0658 p01,L,L,C,18.52,1.5,0.014,0.264,0.935,0.139,2.58E-06,5.60E-08,2.86,0.179,1.267640982,0.909,1.23,-0.858527494,-5.587875594,0.456366033
BATSE 0659 p01,L,L,C,14.3,0.96,0.028,0.34,0.511,0.078,1.15E-06,4.27E-08,7.875,0.725,1.155336037,0.786,2.38,-1.110457748,-5.939679971,0.896250562
BATSE 0659 p02,L,L,C,62.44,2.56,0.008,0.769,0.698,0.102,5.21E-06,7.68E-08,1.09,0.043,1.795462894,0.542,4.44,-0.99330448,-5.283078927,0.037426498
BATSE 0659 p03,L,L,C,76.65,2.31,0.1,0.348,0.264,0.045,1.40E-06,3.48E-08,0.344,0.036,1.884512159,0.999,0.09,-1.343243958,-5.854803594,-0.463441557
BATSE 0660 p01,L,L,C,14.17,0.82,0.009,0.274,1.574,0.112,2.36E-06,6.03E-08,3.97,0.212,1.15136985,0.997,0.363,-0.94980661,-5.627456199,0.598790507
BATSE 0660 p02,L,L,C,1.62,0.26,0.014,0.041,3.122,0.194,8.37E-07,3.76E-08,8.035,0.822,0.209515015,0.619,0.07,-0.711124106,-6.077222658,0.904985881
BATSE 0673 p01,L,X,C,43.7,1.99,0.008,1.312,0.092,0.036,1.14E-06,4.15E-08,5.704,0.498,1.640481437,0.348,8.31,-1.444332669,-5.943476276,0.756179517
BATSE 0680 p01,L,L,C,9.49,0.8,0.006,0.244,0.209,0.032,1.01E-06,3.83E-08,3.572,0.302,0.977266212,0.371,0.25,-1.495013109,-5.997402019,0.55291145
BATSE 0685 p01,L,L,C,5.66,0.52,0.1,0.432,0.662,0.112,3.29E-07,1.94E-08,0.924,0.137,0.752816431,1,-0.192,-0.951350577,-6.483332441,-0.034328029
BATSE 0686 p01,L,L,C,10.24,0.77,0.058,0.51,0.327,0.065,3.32E-07,2.06E-08,1.659,0.239,1.010299957,0.925,-0.27,-1.189865269,-6.479254528,0.219846386
BATSE 0686 p02,L,L,C,5.08,0.51,0.045,0.242,0.694,0.125,4.93E-07,2.83E-08,6.527,0.84,0.705863712,0.887,0.26,-0.903013551,-6.307505592,0.814713613
BATSE 0692 p01,L,L,I,8.44,0.61,0.022,0.144,0.916,0.121,8.05E-07,3.33E-08,2.735,0.258,0.926342447,0.987,0.3,-0.918004766,-6.094419972,0.436957331
BATSE 0692 p02,L,L,I,1.02,0.24,0.137,0.489,0.401,0.06,8.04E-08,1.05E-08,4.314,1.459,0.008600172,0.721,0.5,-1.220373618,-7.094527938,0.634880141
BATSE 0692 p03,L,L,I,2.54,0.35,0.003,0.177,0.876,0.116,3.52E-07,2.31E-08,4.486,0.657,0.404833717,0.188,-0.07,-0.935198935,-6.453457337,0.651859269
BATSE 0704 p01,L,L,I,12.94,0.74,0.017,0.286,0.807,0.108,1.24E-06,4.53E-08,6.707,0.542,1.111934276,0.998,-0.03,-0.967443598,-5.90517962,0.826528306
BATSE 0727 p01,M,X,C,6,0.57,0.016,0.221,0.658,0.105,7.42E-07,3.42E-08,5.75,0.598,0.77815125,0.57,0.46,-0.977664317,-6.12947905,0.759667845
BATSE 0741 p01,L,X,C,18.26,1.09,0.057,1.309,0.166,0.062,4.83E-07,2.79E-08,4.876,0.586,1.261500773,0.83,2.75,-1.206042636,-6.316322701,0.688063697
BATSE 0752 p01,L,L,C,7.71,0.63,0.051,0.353,0.376,0.067,4.19E-07,2.46E-08,3.084,0.392,0.887054378,0.946,-0.33,-1.171947675,-6.377785977,0.489114369
BATSE 0752 p02,L,L,C,1.7,0.28,0,0.245,0.379,0.068,1.51E-07,1.62E-08,7.586,1.746,0.230448921,0.023,0.32,-1.168832128,-6.821886748,0.880012838
BATSE 0753 p01,L,X,C,8.86,0.77,0.044,0.404,0.365,0.082,5.65E-07,2.82E-08,2.364,0.25,0.947433722,0.858,0.53,-1.08444486,-6.247721015,0.373647472
BATSE 0755 p01,L,L,?,5.05,0.45,0.029,0.233,0.435,0.072,3.67E-07,2.43E-08,5.448,0.777,0.703291378,0.99,-0.11,-1.143390148,-6.435452288,0.736237099
BATSE 0764 p01,L,L,C,28.72,1.53,0.015,0.541,0.644,0.108,2.10E-06,5.62E-08,4.408,0.264,1.458184436,0.849,1.35,-0.965471169,-5.677780705,0.644241586
BATSE 0803 p01,L,L,C,2.24,0.28,0.135,0.774,0.512,0.083,1.28E-07,1.46E-08,9.506,2.678,0.350248018,0.916,-0.38,-1.079218765,-6.893129456,0.97799781
BATSE 0803 p02,L,L,C,6.82,0.6,0.034,0.171,1.048,0.155,8.26E-07,3.63E-08,5.749,0.56,0.833784375,0.903,-0.53,-0.810738173,-6.082914809,0.759592309
BATSE 0803 p03,L,L,C,4.22,0.43,0.052,0.343,0.653,0.102,3.44E-07,2.43E-08,11.825,2.141,0.625312451,0.884,0.43,-0.990532286,-6.463062977,1.072801149
BATSE 0803 p04,L,L,C,0.95,0.21,0.249,0.614,0.324,0.058,5.13E-08,9.27E-09,11.543,5.481,-0.022276395,0.884,-0.1,-1.237999939,-7.289882635,1.062318696
BATSE 0815 p01,L,L,C,36.28,1.74,0.03,0.969,0.302,0.074,1.07E-06,3.66E-08,1.456,0.117,1.559667278,0.857,3.65,-1.131282751,-5.970210529,0.163161375
BATSE 0815 p02,L,L,C,9.26,0.63,0.079,0.665,0.238,0.06,1.77E-07,1.52E-08,2.064,0.411,0.966610987,0.972,-0.24,-1.221130801,-6.753009301,0.314709693
BATSE 0815 p03,L,L,C,2.83,0.36,0.098,0.495,0.319,0.078,9.47E-08,1.10E-08,2.15,0.61,0.451786436,0.822,0.02,-1.110211453,-7.0238335,0.33243846
BATSE 0824 p01,L,L,C,56.83,3.83,0.015,0.714,0.449,0.092,1.29E-05,1.57E-07,17.79,0.562,1.754577656,0.955,9.84,-1.03437003,-4.88941029,1.250175948
BATSE 0840 p01,L,L,?,4.84,0.38,0.1,0.185,1.26,0.153,8.11E-07,3.78E-08,15.707,2.022,0.684845362,1,0,-0.814465342,-6.09108626,1.196093244
BATSE 0840 p02,L,L,?,1.97,0.26,0.047,0.317,0.818,0.104,3.17E-07,2.45E-08,17.654,3.576,0.294466226,0.751,0.02,-0.982256076,-6.498666821,1.246843122
BATSE 0840 p03,L,L,?,2.22,0.21,0.1,0.563,0.492,0.068,1.27E-07,1.53E-08,13.58,3.998,0.346352974,1,0,-1.170314348,-6.895171596,1.13289977
BATSE 0840 p04,L,L,?,1.6,0.24,0.067,0.412,0.647,0.085,2.00E-07,1.88E-08,15.653,4.031,0.204119983,0.933,0.06,-1.070577361,-6.699839463,1.194597585
BATSE 0867 p01,L,S,C,1.99,0.27,0.022,0.15,2.028,0.164,8.61E-07,3.93E-08,13.386,1.544,0.298853076,0.837,-0.15,-0.784785085,-6.064895979,1.126650821
BATSE 0867 p02,L,S,C,0.959,0.17,0.019,0.071,2.332,0.186,4.53E-07,2.85E-08,14.649,2.416,-0.018181393,0.678,0.04,-0.730500396,-6.344189506,1.165807979
BATSE 1008 p01,M,X,I,30.68,1.56,0.041,0.346,1.147,0.087,4.15E-06,7.64E-08,2.798,0.114,1.486855355,0.636,4.39,-1.061562373,-5.382161252,0.44684771
BATSE 1008 p02,M,X,I,6.82,0.62,0.015,0.036,3.525,0.205,3.74E-06,7.92E-08,8.103,0.396,0.833784375,0.58,0,-0.689232065,-5.427476902,0.908645839
BATSE 1008 p03,M,X,I,8.88,0.7,0.025,0.098,2.891,0.174,3.55E-06,7.56E-08,8.851,0.476,0.948412966,0.397,-0.76,-0.759775607,-5.450016389,0.946992341
BATSE 1008 p04,M,X,I,2.98,0.41,0.051,0.091,1.768,0.119,9.18E-07,3.86E-08,8.148,0.832,0.474216264,0.836,-0.06,-0.925949985,-6.037299268,0.91105102
BATSE 1008 p05,M,X,I,5.29,0.57,0.011,0.062,2.454,0.153,2.17E-06,5.98E-08,6.68,0.407,0.723455672,0.27,-0.4,-0.816611947,-5.664542099,0.824776462
BATSE 1009 p01,L,L,?,14.93,0.99,0.024,0.456,0.396,0.076,8.72E-07,3.14E-08,1.127,0.11,1.174059808,0.879,-0.76,-1.119996592,-6.059433714,0.051923916
BATSE 1009 p02,L,L,?,63.9,2.15,0.026,1.209,0.154,0.033,1.68E-06,5.16E-08,5.479,0.371,1.805500858,0.989,1.91,-1.47702593,-5.774174009,0.7387013
BATSE 1009 p03,L,L,?,22.01,1.25,0.026,0.566,0.279,0.055,1.30E-06,4.56E-08,5.741,0.444,1.342620043,0.784,-0.67,-1.256697964,-5.886390849,0.758987547
BATSE 1009 p04,L,L,?,22.3,1.18,0.04,1.202,0.187,0.039,7.94E-07,3.55E-08,6.762,0.713,1.348304863,0.947,1.77,-1.405123953,-6.100288905,0.830075166
BATSE 1025 p01,L,I,C,2.78,0.3,0.173,0.039,3.856,0.179,7.07E-07,3.04E-08,2.291,0.235,0.444044796,0.994,0.24,-0.747561549,-6.150764909,0.360025089
BATSE 1025 p02,L,I,C,0.584,0.14,0,0.028,6.656,0.265,4.40E-07,2.62E-08,4.682,0.6,-0.233587153,0.024,0.05,-0.5770575,-6.356448631,0.670431409
BATSE 1025 p03,L,I,C,1.22,0.21,0.014,0.011,15.123,0.512,1.99E-06,5.65E-08,7.336,0.495,0.086359831,0.813,0.13,-0.290924985,-5.700492701,0.865459323
BATSE 1025 p04,L,I,C,1.55,0.26,0,0.064,2.404,0.131,4.15E-07,2.53E-08,3.821,0.484,0.190331698,0.031,0.1,-0.882963369,-6.381951903,0.582177038
BATSE 1036 p01,L,L,I,0.79,0.16,0.1,0.391,0.679,0.111,8.65E-08,1.18E-08,5.5,1.623,-0.102372909,0.75,-0.069,-0.953276624,-7.062883489,0.740362689
BATSE 1036 p02,L,L,I,5.38,0.44,0.089,0.278,0.6,0.1,3.44E-07,2.27E-08,4.074,0.594,0.730782276,0.99,0.397,-1.001230322,-6.463694128,0.610021025
BATSE 1036 p03,L,L,I,4.67,0.37,0.031,0.346,0.518,0.088,2.09E-07,1.73E-08,2.999,0.543,0.669316881,1,0.001,-1.057868462,-6.680269506,0.476976466
BATSE 1039 p01,L,L,C,18.919266,3.41,0.009,0.331,1.016,0.122,8.80E-06,9.43E-08,0.588,0.019,1.276904283,0.686,1.413,-0.913362101,-5.055319966,-0.230622674
BATSE 1042 p01,L,L,C,11.506155,0.8,0.035,0.377,0.409,0.064,4.04E-07,2.20E-08,1.17,0.155,1.06093022,0.975,0.206,-1.195250448,-6.39351115,0.068185862
BATSE 1042 p02,L,L,C,4.9107382,0.51,0.001,,0.463,0.07,1.68E-07,1.06E-08,,,0.691146782,0.098,,-1.152457365,-6.775208044,
BATSE 1042 p03,L,L,C,6.3093446,0.32,0.094,0.392,1.115,0.149,2.75E-07,1.90E-08,1.634,0.249,0.799984248,0.815,1.687,-0.826806554,-6.56082526,0.213252052
BATSE 1042 p04,L,L,C,2.5981229,0.76,0.022,0.127,0.311,0.052,2.97E-07,1.89E-08,1.636,0.271,0.414659691,0.381,0.188,-1.286876951,-6.526951195,0.213783299
BATSE 1046 p01,L,L,C,15.9,1.03,0.027,0.309,0.687,0.12,1.17E-06,4.27E-08,4.603,0.36,1.201397124,0.851,0.19,-0.920977346,-5.932557157,0.663040975
BATSE 1046 p02,L,L,C,11.96,0.89,0.024,1.386,0.155,0.037,2.00E-07,1.74E-08,3.934,0.737,1.07773118,0.339,0.14,-1.43641014,-6.699187206,0.594834356
BATSE 1086 p01,L,X,C,33.24,1.62,0.051,,0.119,0.048,5.94E-07,2.82E-08,1.7,0.173,1.521661015,0.975,1.56,-1.320288729,-6.226067353,0.230448921
BATSE 1087 p01,L,L,C,3.27,0.3,0.073,,0.529,0.127,1.11E-07,1.31E-08,,,0.514547753,0.789,,-0.896390063,-6.95546024,
BATSE 1110 p01,M,X,C,21.94,1.1,0.031,,0.324,0.082,9.22E-07,3.96E-08,,,1.341236623,0.814,,-1.087799447,-6.035127791,
BATSE 1114 p01,L,I,C,1.08,0.22,0.044,0.085,1.43,0.126,2.34E-07,1.82E-08,2.541,0.425,0.033423755,0.653,-0.05,-0.900422391,-6.630784143,0.405004665
BATSE 1114 p02,L,I,C,1.66,0.23,0.027,0.087,1.854,0.157,3.94E-07,2.50E-08,5.637,0.798,0.220108088,0.921,0.16,-0.805397982,-6.404173223,0.751048035
BATSE 1114 p03,L,I,C,1.97,0.27,0.028,0.039,2.3,0.189,5.23E-07,2.72E-08,3.224,0.38,0.294466226,0.859,0.05,-0.724103725,-6.281581358,0.508395033
BATSE 1114 p04,L,I,C,2.26,0.34,0,0.051,1.672,0.143,4.54E-07,2.28E-08,1.131,0.15,0.354108439,0.023,-0.25,-0.843523556,-6.342944147,0.053462605
BATSE 1120 p01,L,X,C,13.1,0.87,0.074,1.033,0.136,0.058,2.78E-07,1.99E-08,3.286,0.532,1.117271296,0.946,-0.716,-1.232966529,-6.55642412,0.516667559
BATSE 1123 p01,L,X,I,5,0.66,0.02,0.334,0.215,0.061,3.03E-07,2.28E-08,5.589,0.832,0.698970004,0.342,-0.362,-1.216535092,-6.51812759,0.74733411
BATSE 1125 p01,L,X,C,21.1,1.17,0.038,0.792,0.224,0.059,8.43E-07,3.53E-08,3.423,0.309,1.324282455,0.924,0.5,-1.231622745,-6.074327006,0.534406899
BATSE 1126 p01,L,L,C,16.27,1.06,0.025,,0.587,0.117,1.09E-06,4.03E-08,3.281,0.254,1.211387553,0.981,,-0.930696836,-5.962573502,0.51600623
BATSE 1141 p01,L,L,C,25.42,1.32,0.005,0.269,5.698,0.252,1.88E-05,1.72E-07,4.876,0.096,1.405175546,0.891,1.77,-0.59839861,-4.726998728,0.688063697
BATSE 1141 p02,L,L,C,5.24,0.51,0.012,0.027,4.22,0.198,3.54E-06,7.83E-08,10.53,0.564,0.719331287,0.706,0.09,-0.703731701,-5.451610582,1.022428371
BATSE 1145 p01,M,L,C,3.17,0.39,0.024,0.088,1.274,0.144,4.32E-07,2.37E-08,1.972,0.252,0.501059262,0.729,-0.08,-0.841346337,-6.364717362,0.294906911
BATSE 1150 p01,L,L,I,15.59,1.36,0.032,1.232,0.578,0.086,1.23E-06,4.11E-08,1.601,0.108,1.192846115,0.949,0.51,-1.064436351,-5.90868484,0.204391332
BATSE 1150 p02,L,L,I,13.2,0.9,0.023,0.217,0.896,0.124,1.04E-06,3.73E-08,2.409,0.2,1.120573931,0.75,1.89,-0.905768037,-5.984640245,0.3818368
BATSE 1150 p03,L,L,I,5.43,0.54,0.002,0.105,1.464,0.191,6.73E-07,2.86E-08,1.588,0.169,0.73479983,0.191,0.13,-0.718520527,-6.172307711,0.200850498
BATSE 1150 p04,L,L,I,23.23,1.04,0.028,,0.503,0.077,4.92E-07,1.83E-08,0,,1.36604921,0.984,,-1.112437665,-6.308123177,
BATSE 1152 p01,L,X,C,28.99,1.58,0.001,1.146,0.129,0.067,7.58E-07,3.47E-08,4.583,0.437,1.462248215,0.081,-0.56,-1.174815239,-6.120158944,0.661149857
BATSE 1152 p02,L,X,C,38.43,1.7,0.012,1.299,0.132,0.068,8.66E-07,3.69E-08,4.837,0.444,1.584670384,0.38,1.47,-1.165465778,-6.06253226,0.684576087
BATSE 1152 p03,L,X,C,16.6,1.1,0.001,1.46,0.103,0.054,3.36E-07,2.31E-08,4.947,0.729,1.220108088,0.075,1.33,-1.269506805,-6.473144013,0.69434191
BATSE 1153 p01,L,X,C,8.3,0.7,0.064,0.565,0.209,0.071,2.58E-07,1.91E-08,2.897,0.474,0.919078092,0.806,-0.07,-1.148851634,-6.589054141,0.461948495
BATSE 1157 p01,L,L,I,2.91,0.34,0.058,0.074,1.621,0.097,5.51E-07,2.88E-08,4.074,0.467,0.463892989,0.96,0.05,-1.014252911,-6.258769589,0.610021025
BATSE 1157 p02,L,L,I,5.81,0.52,0.011,0.013,7.929,0.315,6.08E-06,9.99E-08,7.291,0.275,0.764176132,0.919,0.22,-0.501690162,-5.215882184,0.862787098
BATSE 1157 p03,L,L,I,0.38,0.09,0.143,0.022,6.757,0.276,3.71E-07,2.55E-08,12.601,2.211,-0.420216403,0.861,0.02,-0.559343283,-6.430158101,1.100405012
BATSE 1157 p04,L,L,I,0.537,0.13,0.025,0.023,5.673,0.239,4.70E-07,2.80E-08,8.771,1.251,-0.270025714,0.511,0.04,-0.620856723,-6.328364403,0.943049111
BATSE 1157 p05,L,L,I,1.82,0.28,0.008,0.012,7.573,0.303,2.00E-06,5.65E-08,6.106,0.39,0.260071388,0.516,0.02,-0.518358115,-5.698970004,0.7857568
BATSE 1159 p01,L,L,C,3.74,0.43,0.006,0.067,2.812,0.204,1.63E-06,5.21E-08,7.884,0.582,0.572871602,0.52,0.196,-0.691023749,-5.788612447,0.896746616
BATSE 1167 p01,L,X,C,12.6,0.69,0.05,,0.259,0.076,3.29E-07,2.27E-08,,,1.100370545,0.974,,-1.12095811,-6.482540173,
BATSE 1190 p01,L,L,I,2.88,0.36,0.006,0.115,2.097,0.163,6.83E-07,3.09E-08,3.014,0.31,0.459392488,0.466,0.21,-0.787762234,-6.165642887,0.479143248
BATSE 1190 p02,L,L,I,0.56,0.14,0.01,0.049,1.797,0.144,1.78E-07,1.78E-08,20.684,6.276,-0.251811973,0.223,0,-0.842656885,-6.749824052,1.315634529
BATSE 1190 p03,L,L,I,1.05,0.19,0.054,0.047,2.305,0.176,2.62E-07,1.94E-08,3.163,0.519,0.021189299,0.938,0.08,-0.753442629,-6.581036169,0.500099192
BATSE 1190 p04,L,L,I,1.66,0.24,0.074,0.143,0.812,0.078,1.41E-07,1.43E-08,2.791,0.596,0.220108088,0.907,0,-1.105822101,-6.851705903,0.445759836
BATSE 1192 p01,L,X,?,1.57,0.24,0.139,0.494,0.323,0.077,6.73E-08,1.06E-08,14.938,6.88,0.195899652,0.78,-0.34,-1.11536479,-7.171984936,1.174292455
BATSE 1192 p02,L,X,?,2.93,0.36,0.059,0.725,0.157,0.042,3.91E-08,6.83E-09,1.24,0.535,0.46686762,0.39,-0.41,-1.377209553,-7.407601154,0.093421685
BATSE 1192 p03,L,X,?,2.16,0.29,0.16,0.675,0.24,0.059,5.72E-08,9.44E-09,4.329,1.508,0.334453751,0.78,0.38,-1.226139946,-7.242452147,0.636387586
BATSE 1192 p04,L,X,?,4.27,0.48,0.008,0.436,0.425,0.098,2.01E-07,1.66E-08,3.072,0.6,0.630427875,0.23,0.22,-1.01029825,-6.696372024,0.487421211
